iso3,country_name,evidence_class,component_name,raw_variable_name,raw_value,raw_unit,standardized_score,transform,direction,weight,source_id,source_url,source_year,missing_flag,imputation_rule
FIN,Finland,hyperscale MW,countable_project_capacity_mw,countable_project_capacity_mw,0.0,MW,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.25,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
FIN,Finland,hyperscale MW,hyperscale_project_row_count,hyperscale_project_row_count,0.0,count,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
FIN,Finland,public load/capacity,load_capacity_proxy_mw,load_capacity_proxy_mw,0.0,MW,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.1,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
FIN,Finland,public load/capacity,public_load_envelope_twh_mid,public_load_envelope_twh_mid,0.0,TWh,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
FRA,France,AI cluster evidence,epoch_h100_equiv_sum,epoch_h100_equiv_sum,18403.04800431343,H100-equivalent count,0.6994810215422717,fillna->0; log1p min-max normalized,higher=stronger,0.05,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
FRA,France,AI cluster evidence,epoch_power_mw_sum,epoch_power_mw_sum,33.8798352,MW,0.46669773414827886,fillna->0; log1p min-max normalized,higher=stronger,0.05,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
FRA,France,capacity prior,ai_accelerator_region_count,ai_accelerator_region_count,3.0,count,0.4362085839710631,fillna->0; log1p min-max normalized,higher=stronger,0.2,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
FRA,France,capacity prior,ai_compute_capacity_score,ai_compute_capacity_score,12.804520943010363,score,0.1229497436836272,fillna->0; linear min-max normalized,higher=stronger,0.35,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
FRA,France,capacity prior,cloud_region_count,cloud_region_count,5,count,0.3731143000216369,fillna->0; log1p min-max normalized,higher=stronger,0.15,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
FRA,France,capacity prior,frontier_accelerator_region_count,frontier_accelerator_region_count,1.0,count,0.26264953503719357,fillna->0; log1p min-max normalized,higher=stronger,0.2,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
FRA,France,cloud GPU regions,cloud_gpu_region_evidence_count,cloud_gpu_region_evidence_count,3.0,count,0.4362085839710631,fillna->0; log1p min-max normalized,higher=stronger,0.1,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
